Jogador,Liga,Clube,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G-PB,PB,PT,CrtsA,CrtV,G_90,A_90,G+A_90
Benjamin Pavard,Bundesliga,Bayern Munich,FRA,DEF,25,25,24,2076,23.1,0,1,0,0,0,2,1,0.0,0.04,0.04
Leroy Sané,Bundesliga,Bayern Munich,GER,ATA,25,32,22,1976,22.0,7,7,7,0,0,3,0,0.32,0.32,0.64
Alphonso Davies,Bundesliga,Bayern Munich,CAN,DEF,20,22,20,1740,19.3,0,3,0,0,0,3,0,0.0,0.16,0.16
Niklas Süle,Bundesliga,Bayern Munich,GER,DEF,25,28,19,1837,20.4,1,2,1,0,0,2,0,0.05,0.1,0.15
Leon Goretzka,Bundesliga,Bayern Munich,GER,MEI,26,19,19,1396,15.5,3,3,3,0,0,0,0,0.19,0.19,0.39
Kingsley Coman,Bundesliga,Bayern Munich,FRA,ATA,25,21,16,1359,15.1,6,2,6,0,0,1,1,0.4,0.13,0.53
Jamal Musiala,Bundesliga,Bayern Munich,GER,MEI,18,30,12,1465,16.3,5,5,5,0,0,2,0,0.31,0.31,0.61
Marcel Sabitzer,Bundesliga,Bayern Munich,AUT,MEI,27,25,8,905,10.1,1,1,1,0,0,0,0,0.1,0.1,0.2
Corentin Tolisso,Bundesliga,Bayern Munich,FRA,MEI,26,15,8,703,7.8,2,1,2,0,0,0,0,0.26,0.13,0.38
Josip Stanišić,Bundesliga,Bayern Munich,CRO,DEF,21,13,6,644,7.2,1,0,1,0,0,1,0,0.14,0.0,0.14
Nianzou Kouassi,Bundesliga,Bayern Munich,FRA,DEF,19,17,6,582,6.5,1,1,1,0,0,4,0,0.15,0.15,0.31
Sven Ulreich,Bundesliga,Bayern Munich,GER,GK,32,6,6,540,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Omar Richards,Bundesliga,Bayern Munich,ENG,DEF,23,12,5,438,4.9,0,0,0,0,0,1,0,0.0,0.0,0.0
Marc Roca,Bundesliga,Bayern Munich,ESP,MEI,24,9,4,379,4.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Eric Maxim Choupo-Moting,Bundesliga,Bayern Munich,CMR,ATA,32,20,1,377,4.2,4,2,4,0,0,0,0,0.95,0.48,1.43
Malik Tillman,Bundesliga,Bayern Munich,USA,ATA,19,4,1,104,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Bouna Sarr,Bundesliga,Bayern Munich,SEN,DEF,29,5,0,64,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0
Paul Wanner,Bundesliga,Bayern Munich,GER,ATA,15,4,0,39,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Gabriel Vidovic,Bundesliga,Bayern Munich,CRO,MEI,17,3,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Lucas Copado,Bundesliga,Bayern Munich,GER,ATA,17,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Mickaël Cuisance,Bundesliga,Bayern Munich,FRA,MEI,21,1,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Christian Früchtl,Bundesliga,Bayern Munich,GER,GK,21,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Kylian Mbappé,Ligue 1,Paris Saint-Germain,FRA,ATA,22,35,34,3023,33.6,28,18,24,4,4,10,0,0.83,0.54,1.37
Marquinhos,Ligue 1,Paris Saint-Germain,BRA,DEF,27,32,32,2861,31.8,5,0,5,0,0,5,0,0.16,0.0,0.16
Presnel Kimpembe,Ligue 1,Paris Saint-Germain,FRA,DEF,25,30,29,2576,28.6,1,0,1,0,0,6,0,0.03,0.0,0.03
Achraf Hakimi,Ligue 1,Paris Saint-Germain,MAR,DEF,22,32,28,2479,27.5,4,6,4,0,0,3,1,0.15,0.22,0.36
Lionel Messi,Ligue 1,Paris Saint-Germain,ARG,ATA,34,26,24,2153,23.9,6,14,6,0,0,0,0,0.25,0.59,0.84
Marco Verratti,Ligue 1,Paris Saint-Germain,ITA,MEI,28,24,23,1937,21.5,2,2,2,0,0,12,0,0.09,0.09,0.19
Danilo Pereira,Ligue 1,Paris Saint-Germain,POR,MEI,29,27,22,2038,22.6,5,0,5,0,0,2,0,0.22,0.0,0.22
Neymar,Ligue 1,Paris Saint-Germain,BRA,ATA,29,22,22,1851,20.6,13,6,10,3,4,10,0,0.63,0.29,0.92
Keylor Navas,Ligue 1,Paris Saint-Germain,CRC,GK,34,21,21,1856,20.6,0,0,0,0,0,0,1,0.0,0.0,0.0
Ángel Di María,Ligue 1,Paris Saint-Germain,ARG,ATA,33,26,19,1645,18.3,5,7,5,0,0,2,0,0.27,0.38,0.66
Nuno Mendes,Ligue 1,Paris Saint-Germain,POR,DEF,19,27,18,1658,18.4,0,1,0,0,0,3,0,0.0,0.05,0.05
Georginio Wijnaldum,Ligue 1,Paris Saint-Germain,NED,MEI,30,31,18,1653,18.4,1,3,1,0,0,2,0,0.05,0.16,0.22
Idrissa Gana Gueye,Ligue 1,Paris Saint-Germain,SEN,MEI,31,26,18,1641,18.2,3,1,3,0,0,4,0,0.16,0.05,0.22
Gianluigi Donnarumma,Ligue 1,Paris Saint-Germain,ITA,GK,22,17,17,1530,17.0,0,0,0,0,0,3,0,0.0,0.0,0.0
Thilo Kehrer,Ligue 1,Paris Saint-Germain,GER,DEF,24,27,16,1513,16.8,2,0,2,0,0,0,0,0.12,0.0,0.12
Ander Herrera,Ligue 1,Paris Saint-Germain,ESP,MEI,31,19,12,1091,12.1,3,2,3,0,0,2,0,0.25,0.17,0.41
